user_id	total_actions	view_cnt	fav_cnt	cart_cnt	buy_cnt	view_to_buy_rate	fav_to_buy_rate	cart_to_buy_rate	buy_ratio	days_since_last_action	active_days	view_categories	buy_categories	avg_daily_actions	non_buy_ratio	cart_depth
98047837	174	165	4	5	0	0	0	0	0	0	25	59	0	6.96	1	5
97726136	71	69	2	0	0	0	0	0	0	1	23	31	0	3.086956522	1	0
98607707	153	149	1	1	2	0.013333333	1	1	0.013071895	0	26	53	2	5.884615385	0.986928105	0.333333333
98662432	6	6	0	0	0	0	0	0	0	7	5	3	0	1.2	1	0
98145908	10	10	0	0	0	0	0	0	0	2	4	6	0	2.5	1	0
93784494	232	223	2	6	1	0.004464286	0.333333333	0.142857143	0.004310345	3	23	89	1	10.08695652	0.995689655	3
94832743	11	11	0	0	0	0	0	0	0	3	5	4	0	2.2	1	0
95290487	85	80	0	3	2	0.024691358	2	0.5	0.023529412	0	22	42	2	3.863636364	0.976470588	1
96610296	61	53	0	6	2	0.037037037	2	0.285714286	0.032786885	6	7	18	2	8.714285714	0.967213115	2
100684618	96	90	1	2	3	0.032967033	1.5	1	0.03125	0	21	36	3	4.571428571	0.96875	0.5
100509623	281	261	0	16	4	0.015267176	4	0.235294118	0.014234875	1	24	57	3	11.70833333	0.985765125	3.2
101781721	42	39	0	3	0	0	0	0	0	0	7	10	0	6	1	3
103891828	201	185	0	10	6	0.032258065	6	0.545454545	0.029850746	1	20	54	5	10.05	0.970149254	1.428571429
101260672	21	20	0	0	1	0.047619048	1	1	0.047619048	0	9	10	1	2.333333333	0.952380952	0
104811265	18	16	1	0	1	0.058823529	0.5	1	0.055555556	3	7	9	1	2.571428571	0.944444444	0
103802946	115	108	4	1	2	0.018348624	0.4	1	0.017391304	0	23	33	2	5	0.982608696	0.333333333
104221274	369	360	6	1	2	0.005540166	0.285714286	1	0.005420054	0	28	68	2	13.17857143	0.994579946	0.333333333
110418606	6	6	0	0	0	0	0	0	0	9	4	3	0	1.5	1	0
116730636	147	132	7	4	4	0.030075188	0.5	0.8	0.027210884	0	25	43	4	5.88	0.972789116	0.8
106230218	16	12	1	0	3	0.230769231	1.5	3	0.1875	3	8	8	3	2	0.8125	0
103582986	178	168	0	10	0	0	0	0	0	0	27	55	0	6.592592593	1	10
106557109	222	209	1	11	1	0.004761905	0.5	0.083333333	0.004504505	2	25	59	1	8.88	0.995495495	5.5
110253038	46	45	0	1	0	0	0	0	0	0	16	28	0	2.875	1	1
116678892	99	98	0	0	1	0.01010101	1	1	0.01010101	2	14	25	1	7.071428571	0.98989899	0
103898055	38	36	0	0	2	0.054054054	2	2	0.052631579	0	15	18	2	2.533333333	0.947368421	0
107874169	228	204	2	16	6	0.029268293	2	0.352941176	0.026315789	0	26	104	5	8.769230769	0.973684211	2.285714286
11087331	18	18	0	0	0	0	0	0	0	2	8	10	0	2.25	1	0
112296733	78	73	0	5	0	0	0	0	0	0	10	22	0	7.8	1	5
132252054	22	20	0	1	1	0.047619048	1	0.5	0.045454545	0	10	13	1	2.2	0.954545455	0.5
133088851	35	35	0	0	0	0	0	0	0	5	8	14	0	4.375	1	0
119732530	41	41	0	0	0	0	0	0	0	4	8	21	0	5.125	1	0
116071825	44	42	0	0	2	0.046511628	2	2	0.045454545	1	16	16	2	2.75	0.954545455	0
112131404	27	24	0	2	1	0.04	1	0.333333333	0.037037037	0	13	14	1	2.076923077	0.962962963	1
135099670	29	27	0	1	1	0.035714286	1	0.5	0.034482759	4	14	13	1	2.071428571	0.965517241	0.5
120154530	42	40	0	1	1	0.024390244	1	0.5	0.023809524	2	15	16	1	2.8	0.976190476	0.5
112707614	161	153	5	1	2	0.012987013	0.333333333	1	0.01242236	0	30	47	1	5.366666667	0.98757764	0.333333333
112561774	38	34	0	1	3	0.085714286	3	1.5	0.078947368	0	17	19	3	2.235294118	0.921052632	0.25
135157689	343	320	20	1	2	0.00623053	0.095238095	1	0.005830904	0	27	42	2	12.7037037	0.994169096	0.333333333
117155106	61	59	0	2	0	0	0	0	0	2	13	14	0	4.692307692	1	2
11268219	53	53	0	0	0	0	0	0	0	0	13	16	0	4.076923077	1	0
114147715	7	6	0	0	1	0.142857143	1	1	0.142857143	4	5	5	1	1.4	0.857142857	0
124926433	299	267	0	30	2	0.007462687	2	0.064516129	0.006688963	0	24	65	2	12.45833333	0.993311037	10
115226000	38	37	1	0	0	0	0	0	0	1	17	18	0	2.235294118	1	0
10131505	43	42	0	0	1	0.023255814	1	1	0.023255814	1	11	15	1	3.909090909	0.976744186	0
117659143	371	356	1	10	4	0.011204482	2	0.363636364	0.010781671	0	25	106	4	14.84	0.989218329	2
113134393	17	15	0	1	1	0.0625	1	0.5	0.058823529	1	7	6	1	2.428571429	0.941176471	0.5
121058789	60	59	0	1	0	0	0	0	0	1	15	27	0	4	1	1
105397406	219	188	14	17	0	0	0	0	0	0	23	80	0	9.52173913	1	17
118660140	9	8	1	0	0	0	0	0	0	2	6	7	0	1.5	1	0
123118241	32	31	1	0	0	0	0	0	0	0	12	16	0	2.666666667	1	0
108331566	13	13	0	0	0	0	0	0	0	1	8	11	0	1.625	1	0
120013837	71	68	0	3	0	0	0	0	0	5	11	26	0	6.454545455	1	3
123237592	169	159	4	5	1	0.00625	0.2	0.166666667	0.00591716	17	10	35	1	16.9	0.99408284	2.5
108957791	46	44	1	0	1	0.022222222	0.5	1	0.02173913	0	16	27	1	2.875	0.97826087	0
12262752	89	89	0	0	0	0	0	0	0	0	18	27	0	4.944444444	1	0
113922474	4	4	0	0	0	0	0	0	0	21	1	1	0	4	1	0
113962885	28	27	0	1	0	0	0	0	0	4	13	21	0	2.153846154	1	1
112917606	10	10	0	0	0	0	0	0	0	1	3	5	0	3.333333333	1	0
114650712	44	40	3	1	0	0	0	0	0	1	18	28	0	2.444444444	1	1
116217587	36	33	0	3	0	0	0	0	0	0	3	11	0	12	1	3
124016530	87	84	0	3	0	0	0	0	0	2	17	33	0	5.117647059	1	3
116746209	230	204	16	8	2	0.009756098	0.117647059	0.222222222	0.008695652	1	27	64	2	8.518518519	0.991304348	2.666666667
124793990	82	80	1	0	1	0.012345679	0.5	1	0.012195122	0	18	31	1	4.555555556	0.987804878	0
116101597	528	507	20	0	1	0.001968504	0.047619048	1	0.001893939	9	21	115	1	25.14285714	0.998106061	0
129894791	365	363	0	2	0	0	0	0	0	0	28	101	0	13.03571429	1	2
12428085	274	257	0	16	1	0.003875969	1	0.058823529	0.003649635	2	26	47	1	10.53846154	0.996350365	8
109410073	26	24	0	0	2	0.08	2	2	0.076923077	2	8	15	2	3.25	0.923076923	0
129177653	8	8	0	0	0	0	0	0	0	0	3	7	0	2.666666667	1	0
133933227	217	211	1	2	3	0.014150943	1.5	1	0.013824885	0	25	90	3	8.68	0.986175115	0.5
109687773	174	142	25	5	2	0.013986014	0.076923077	0.333333333	0.011494253	1	21	67	2	8.285714286	0.988505747	1.666666667
126505815	2	2	0	0	0	0	0	0	0	0	2	2	0	1	1	0
128090856	123	115	1	7	0	0	0	0	0	0	24	65	0	5.125	1	7
136870062	49	48	1	0	0	0	0	0	0	2	19	31	0	2.578947368	1	0
26125683	201	197	3	1	0	0	0	0	0	0	22	69	0	9.136363636	1	1
117973406	108	105	0	2	1	0.009433962	1	0.333333333	0.009259259	0	20	50	1	5.4	0.990740741	1
117903708	300	296	2	1	1	0.003367003	0.333333333	0.5	0.003333333	1	23	123	1	13.04347826	0.996666667	0.5
128826910	196	195	0	1	0	0	0	0	0	0	25	41	0	7.84	1	1
110828957	17	17	0	0	0	0	0	0	0	2	9	13	0	1.888888889	1	0
111167137	48	43	2	1	2	0.045454545	0.666666667	1	0.041666667	1	13	27	2	3.692307692	0.958333333	0.333333333
136769457	573	533	13	26	1	0.001872659	0.071428571	0.037037037	0.001745201	0	30	123	1	19.1	0.998254799	13
118986002	214	199	0	14	1	0.005	1	0.066666667	0.004672897	0	23	49	1	9.304347826	0.995327103	7
114157234	60	56	0	4	0	0	0	0	0	2	16	17	0	3.75	1	4
124546232	46	41	2	0	3	0.071428571	1	3	0.065217391	0	19	26	3	2.421052632	0.934782609	0
29524082	215	213	2	0	0	0	0	0	0	0	22	45	0	9.772727273	1	0
126768074	53	49	4	0	0	0	0	0	0	1	17	34	0	3.117647059	1	0
114515435	156	135	21	0	0	0	0	0	0	2	15	67	0	10.4	1	0
130638372	25	25	0	0	0	0	0	0	0	1	8	14	0	3.125	1	0
129489291	421	403	1	13	4	0.00990099	2	0.285714286	0.009501188	0	31	91	4	13.58064516	0.990498812	2.6
134979241	24	24	0	0	0	0	0	0	0	12	5	14	0	4.8	1	0
128108757	124	124	0	0	0	0	0	0	0	0	29	43	0	4.275862069	1	0
137359772	23	22	0	0	1	0.043478261	1	1	0.043478261	2	7	6	1	3.285714286	0.956521739	0
16788720	302	292	0	9	1	0.003412969	1	0.1	0.003311258	0	28	97	1	10.78571429	0.996688742	4.5
123006863	219	188	0	26	5	0.026455026	5	0.185185185	0.02283105	3	17	69	5	12.88235294	0.97716895	4.333333333
117489231	1	0	0	0	1	1	1	1	1	30	1	0	1	1	0	0
11917811	66	66	0	0	0	0	0	0	0	0	13	28	0	5.076923077	1	0
119949716	47	45	0	2	0	0	0	0	0	2	17	26	0	2.764705882	1	2
117396268	172	164	7	1	0	0	0	0	0	1	27	67	0	6.37037037	1	1
132397628	97	84	4	0	9	0.105882353	1.8	9	0.092783505	3	17	41	9	5.705882353	0.907216495	0
121006999	83	81	0	1	1	0.012195122	1	0.5	0.012048193	0	22	33	1	3.772727273	0.987951807	0.5
